Date,Open,High,Low,Close,Adj Close,Volume,EMA_12,EMA_26,EMA_50,EMA_200,Ticker
2024-07-22,334.45001220703125,338.8699951171875,328.8800048828125,333.70001220703125,333.70001220703125,2985200,333.70001220703125,333.70001220703125,333.70001220703125,333.70001220703125,PANW
2024-07-23,334.989990234375,340.8900146484375,332.6499938964844,335.55999755859375,335.55999755859375,2747100,333.98616379957934,333.83778889973956,333.7729528090533,333.71851952396224,PANW
2024-07-24,334.0,336.2699890136719,323.0,324.239990234375,324.239990234375,2492100,332.4867524818556,333.1268408504533,333.3991111394581,333.6242057996878,PANW
2024-07-25,326.55999755859375,328.8500061035156,318.7300109863281,320.1300048828125,320.1300048828125,2371600,330.5857143896951,332.16411226025764,332.8787540313544,333.4899351437985,PANW
2024-07-26,323.2300109863281,329.1600036621094,321.2699890136719,326.80999755859375,326.80999755859375,1709400,330.004834877218,331.7675111712455,332.64076358144223,333.42346810314973,PANW
2024-07-29,327.5,328.7300109863281,321.3999938964844,322.05999755859375,322.05999755859375,1562300,328.78255221281427,331.0484360888268,332.22583158054624,333.31039874449743,PANW
2024-07-30,325.239990234375,326.8299865722656,315.010009765625,317.510009765625,317.510009765625,2706200,327.04831491324666,330.04558969451557,331.64874052898074,333.15318094371264,PANW
2024-07-31,320.6499938964844,326.6199951171875,316.25,324.7300109863281,324.7300109863281,2041200,326.6916527706438,329.6518431235387,331.3774178018179,333.06936830732076,PANW
2024-08-01,323.4100036621094,325.6400146484375,312.3699951171875,315.6199951171875,315.6199951171875,3358800,324.98832082395825,328.6124469749201,330.7594796573226,332.8957427034388,PANW
2024-08-02,305.9200134277344,309.0,299.54998779296875,305.6000061035156,305.6000061035156,3524600,322.0055031746594,326.9078217251864,329.7728336356047,332.62414333428535,PANW
2024-08-05,287.2099914550781,301.3999938964844,284.0199890136719,294.17999267578125,294.17999267578125,4480200,317.7246554056012,324.4835380918971,328.37703595090574,332.2416144720117,PANW
2024-08-06,300.1199951171875,305.3399963378906,294.8500061035156,301.92999267578125,301.92999267578125,3220800,315.2947072933212,322.8129050981108,327.3398969989401,331.9400062949348,PANW
2024-08-07,311.1499938964844,314.7799987792969,304.1700134277344,304.2099914550781,304.2099914550781,3566200,313.58936639512996,321.43491149492314,326.432841879573,331.6640857492646,PANW
2024-08-08,311.70001220703125,317.80999755859375,306.3500061035156,317.3699951171875,317.3699951171875,2219300,314.17100158313883,321.13380657805385,326.07743612418534,331.5218559917315,PANW
2024-08-09,318.1600036621094,333.1400146484375,317.489990234375,331.4800109863281,331.4800109863281,2820100,316.83392610670643,321.9001920897779,326.2893018050537,331.5214396235186,PANW
2024-08-12,330.6700134277344,332.42999267578125,325.1499938964844,331.1000061035156,331.1000061035156,2039600,319.02870764467707,322.5816597944992,326.47795687558164,331.51724625516033,PANW
2024-08-13,331.3500061035156,336.0799865722656,330.5199890136719,333.2300109863281,333.2300109863281,3498100,321.2135235433926,323.3704265494495,326.7427433112972,331.53428869029636,PANW
2024-08-14,335.989990234375,344.3299865722656,335.510009765625,339.9100036621094,339.9100036621094,2673300,324.0899051001183,324.5955804096466,327.25910646230943,331.6176291377771,PANW
2024-08-15,340.510009765625,345.7799987792969,340.0899963378906,343.2699890136719,343.2699890136719,3179300,327.040687240665,325.97886993587065,327.8869842094217,331.73357301713924,PANW
2024-08-16,338.4800109863281,340.1300048828125,332.7200012207031,334.1099853515625,334.1099853515625,4533400,328.12827156541846,326.58117478147744,328.13102346989785,331.7572189110141,PANW
2024-08-19,336.0,344.4800109863281,335.1099853515625,343.3599853515625,343.3599853515625,8062300,330.47161214790214,327.82404963852076,328.7282376613357,331.87266932335785,PANW
2024-08-20,348.69000244140625,375.3699951171875,348.0,368.010009765625,368.010009765625,12853000,336.2467502429364,330.8007874257137,330.26869931248433,332.23224485014657,PANW
2024-08-21,364.30999755859375,368.5899963378906,358.5299987792969,359.75,359.75,5009300,339.8626348209462,332.9451735423275,331.42482875121044,332.50605335910035,PANW
2024-08-22,359.3500061035156,359.3599853515625,348.8299865722656,349.4800109863281,349.4800109863281,3074600,341.3422311540819,334.1699763159572,332.13287511337194,332.6749484598688,PANW
2024-08-23,351.20001220703125,355.1400146484375,346.2300109863281,350.75,350.75,3506700,342.78958020730005,335.39812621847886,332.8629584422593,332.8547997189746,PANW
2024-08-26,349.7300109863281,354.6400146484375,345.4700012207031,347.1199951171875,347.1199951171875,3481400,343.4557978857443,336.2664128035684,333.42205791970747,332.99674196174294,PANW
2024-08-27,344.25,351.3399963378906,343.3599853515625,350.19000244140625,350.19000244140625,1736500,344.4918293558461,337.29778981377865,334.0796243715388,333.1678191804461,PANW
2024-08-28,349.4700012207031,352.7799987792969,346.0799865722656,350.44000244140625,350.44000244140625,1653300,345.4069329074707,338.27128704545476,334.7212078252591,333.3396817004557,PANW
2024-08-29,352.9200134277344,366.04998779296875,352.2200012207031,358.2099914550781,358.2099914550781,2728500,347.37663422248727,339.7482281128343,335.64233659505595,333.5871474691584,PANW
